Date,Latitude,Saturation
2015-10-14,37.5,86.76859325742576
2015-10-15,37.6,52.73500388034193
2015-10-15,37.7,
2015-10-15,37.8,
2015-10-15,37.9,
2015-10-16,39.0,
2015-10-17,38.1,
2015-10-17,38.2,
2015-10-17,38.3,
2015-10-17,38.4,
2015-10-17,38.5,
2015-10-17,38.6,
2015-10-17,38.7,92.99270833333331
2015-10-17,38.8,91.17761041818167
2015-10-18,37.6,
2015-10-18,37.7,
2015-10-19,37.8,
2015-10-19,37.9,
2015-10-19,38.0,
2015-10-19,38.1,
2015-10-19,38.2,
2015-10-19,38.3,
2015-10-19,38.4,
2015-10-19,38.5,
2015-10-19,38.6,
2015-10-19,38.7,
2015-10-19,38.8,
2015-10-19,38.9,
2015-10-19,39.0,
2015-10-24,38.4,
2015-10-24,38.5,
2015-10-24,38.6,
2015-10-24,38.7,
2015-10-24,38.8,
2015-10-24,38.9,
2015-10-24,39.0,
2015-10-25,37.6,
2015-10-25,37.7,
2015-10-25,37.8,
2015-10-25,37.9,
2015-10-25,38.0,
2015-10-25,38.1,
2015-10-25,38.2,
2015-10-25,38.3,
2015-10-25,38.4,
2015-11-09,37.6,
2015-11-10,37.6,
2015-11-10,37.7,
2015-11-10,37.8,
2015-11-10,37.9,
2015-11-10,38.0,
2015-11-10,38.1,
2015-11-10,38.2,
2015-11-10,38.3,
2015-11-10,38.4,
2015-11-10,38.5,
2015-11-10,38.6,
2015-11-10,38.7,
2015-11-10,38.8,
2015-11-10,38.9,
2015-11-10,39.0,
2015-11-11,37.6,
2015-11-11,37.7,
2015-11-11,37.8,
2015-11-11,37.9,
2015-11-11,38.0,
2015-11-11,38.1,
2015-11-11,38.2,
2015-11-11,38.3,
2015-11-11,38.4,
2015-11-11,38.5,
2015-11-11,38.6,
2015-11-11,38.7,
2015-11-11,38.8,
2015-11-11,38.9,
2015-11-11,39.0,
2015-11-12,37.6,
2015-11-12,37.7,
2015-11-12,37.8,
2015-11-12,37.9,
2015-11-12,38.0,
2015-11-12,38.1,
2015-11-12,38.2,
2015-11-12,38.3,
2015-11-12,38.4,
2015-11-12,38.5,
2015-11-12,38.6,
2015-11-12,38.7,
2015-11-12,38.8,
2015-11-12,38.9,
2015-11-12,39.0,
2015-11-13,37.6,
2015-11-13,37.7,
2015-11-13,37.8,
2015-11-13,37.9,
2015-11-13,38.0,
2015-11-13,38.1,
