Date,Time,Latitude,Longitude,Temperature,Salinity,pH,Distance
2016.1.15,0:00,39.015905,121.755908,6.4404,31.835267,8.1364,177.895 
2016.1.15,0:01,39.014192,121.757223,6.311733,31.833433,8.160033,177.728 
2016.1.15,0:02,39.012405,121.75854,6.2282,31.832033,8.167433,177.554 
2016.1.15,0:03,39.010537,121.759915,6.1564,31.829867,8.168667,177.371 
2016.1.15,0:04,39.0087,121.761338,6.053667,31.820467,8.162167,177.193 
2016.1.15,0:05,39.006863,121.762733,5.920067,31.809033,8.1563,177.015 
2016.1.15,0:06,39.004825,121.764285,5.774733,31.801033,8.153233,176.817 
2016.1.15,0:07,39.002853,121.765748,5.662467,31.806033,8.154833,176.625 
2016.1.15,0:08,39.000683,121.76719,5.568133,31.810767,8.1614,176.412 
2016.1.15,0:09,38.998245,121.767573,5.512133,31.813067,8.171367,176.152 
2016.1.15,0:10,38.995797,121.767667,5.453133,31.821967,8.180233,175.886 
2016.1.15,0:11,38.993258,121.767887,5.402567,31.827367,8.1873,175.612 
2016.1.15,0:12,38.990783,121.768045,5.3117,31.832533,8.201267,175.345 
2016.1.15,0:13,38.98817,121.768227,5.221633,31.842967,8.216133,175.063 
2016.1.15,0:14,38.985627,121.768073,5.168833,31.846733,8.227367,174.782 
2016.1.15,0:15,38.983253,121.766932,5.163467,31.8561,8.2336,174.505 
2016.1.15,0:16,38.980863,121.765847,5.190367,31.854767,8.238333,174.226 
2016.1.15,0:17,38.978332,121.764787,5.130667,31.856067,8.246967,173.932 
2016.1.15,0:18,38.975792,121.764077,5.021267,31.861433,8.255933,173.643 
2016.1.15,0:19,38.973257,121.763475,4.962433,31.871967,8.265133,173.357 
2016.1.15,0:20,38.970707,121.76289,4.950267,31.8786,8.272433,173.069 
2016.1.15,0:21,38.968247,121.762363,4.893067,31.878833,8.277933,172.791 
2016.1.15,0:22,38.965677,121.761918,4.8495,31.886,8.283067,172.503 
2016.1.15,0:23,38.963123,121.761455,4.800133,31.881067,8.288133,172.217 
2016.1.15,0:24,38.960587,121.760925,4.6763,31.880633,8.293667,171.931 
2016.1.15,0:25,38.957957,121.761028,4.6694,31.8804,8.293833,171.646 
2016.1.15,0:26,38.9555,121.760882,4.684133,31.8847,8.291833,171.375 
2016.1.15,0:27,38.952882,121.760668,4.711367,31.897267,8.286967,171.086 
2016.1.15,0:28,38.950348,121.76043,4.7747,31.9089,8.279833,170.806 
2016.1.15,0:29,38.947818,121.76024,4.831733,31.927067,8.271667,170.526 
2016.1.15,0:30,38.945293,121.759998,4.929267,31.943133,8.2627,170.247 
2016.1.15,0:31,38.94278,121.759887,5.015033,31.952667,8.254767,169.971 
2016.1.15,0:32,38.9406,121.759385,5.090367,31.964833,8.2464,169.724 
2016.1.15,0:33,38.938323,121.758887,5.161267,31.974667,8.2409,169.468 
2016.1.15,0:34,38.935857,121.758642,5.226467,31.9844,8.2349,169.195 
2016.1.15,0:35,38.9335,121.758445,5.2976,31.997833,8.228333,168.934 
2016.1.15,0:36,38.930938,121.758215,5.3701,32.004833,8.222667,168.651 
2016.1.15,0:37,38.928455,121.757937,5.434867,32.012833,8.217933,168.375 
2016.1.15,0:38,38.92609,121.75747,5.495367,32.0155,8.2162,168.109 
2016.1.15,0:39,38.923627,121.757282,5.529067,32.018467,8.2132,167.837 
2016.1.15,0:40,38.921152,121.75712,5.5685,32.0253,8.209333,167.565 
2016.1.15,0:41,38.918675,121.757,5.594433,32.0245,8.208767,167.292 
2016.1.15,0:42,38.916183,121.756848,5.6248,32.027533,8.207467,167.018 
2016.1.15,0:43,38.913695,121.756715,5.6314,32.0257,8.206933,166.744 
2016.1.15,0:44,38.911223,121.756508,5.646267,32.031933,8.2044,166.471 
2016.1.15,0:45,38.908647,121.756327,5.6585,32.0291,8.2039,166.187 
2016.1.15,0:46,38.906248,121.756187,5.680433,32.030533,8.2036,165.923 
2016.1.15,0:47,38.903712,121.755817,5.6843,32.032867,8.202367,165.640 
